SITES	site0	site1
2266000	RELEASED	site0	210
2266000	REJECTED	site0	210
2266000	RELEASED	site0	211
2266000	REJECTED	site0	211
2266000	RELEASED	site0	212
2266000	REJECTED	site0	212
2266000	RELEASED	site0	213
2266000	REJECTED	site0	213
2267000	RELEASED	site0	214
2267000	REJECTED	site0	214
2267000	RELEASED	site0	215
2267000	REJECTED	site0	215
2267000	RELEASED	site0	216
2267000	REJECTED	site0	216
2267000	RELEASED	site0	217
2267000	REJECTED	site0	217
2267000	RELEASED	site0	218
2267000	REJECTED	site0	218
2267000	RELEASED	site0	219
2267000	REJECTED	site0	219
2350000	RELEASED	site0	220
2350000	REJECTED	site0	220
2417000	COMPLETED	site1	1
2417000	STARTED	site1	72
2476000	COMPLETED	site1	72
2476000	STARTED	site1	82
2541000	COMPLETED	site1	82
2541000	STARTED	site1	10
2597000	RELEASED	site0	221
2597000	ACCEPTED	site1	221
2597000	STARTED	site1	10
2623000	RELEASED	site0	222
2623000	REJECTED	site0	222
2695000	RELEASED	site0	223
2695000	ACCEPTED	site1	223
2695000	STARTED	site1	10
2707000	COMPLETED	site1	10
2707000	STARTED	site1	5
2743000	RELEASED	site0	224
2743000	REJECTED	site0	224
2834000	COMPLETED	site1	5
2834000	STARTED	site1	68
2835000	COMPLETED	site1	68
2835000	STARTED	site1	2
2986000	COMPLETED	site1	2
2986000	STARTED	site1	221
3070000	RELEASED	site0	225
3070000	ACCEPTED	site1	225
3070000	STARTED	site1	225
3098000	RELEASED	site0	226
3098000	ACCEPTED	site1	226
3098000	STARTED	site1	226
3144000	RELEASED	site0	227
3144000	ACCEPTED	site1	227
3144000	STARTED	site1	226
3163000	COMPLETED	site1	226
3163000	STARTED	site1	227
3227000	RELEASED	site0	228
3227000	REJECTED	site0	228
3234000	COMPLETED	site1	227
3234000	STARTED	site1	225
3245000	COMPLETED	site1	225
3245000	STARTED	site1	221
3481000	COMPLETED	site1	221
3481000	STARTED	site1	223
3552000	RELEASED	site0	229
3552000	ACCEPTED	site1	229
3552000	STARTED	site1	229
3603000	RELEASED	site0	230
3603000	ACCEPTED	site1	230
3603000	STARTED	site1	230
3604000	RELEASED	site0	231
3604000	ACCEPTED	site1	231
3604000	STARTED	site1	231
3620000	COMPLETED	site1	231
3620000	STARTED	site1	230
3638000	COMPLETED	site1	230
3638000	STARTED	site1	229
3645000	COMPLETED	site1	229
3645000	STARTED	site1	223
3650000	RELEASED	site0	232
3650000	REJECTED	site0	232
3651000	RELEASED	site0	233
3651000	ACCEPTED	site1	233
3651000	STARTED	site1	233
3667000	COMPLETED	site1	233
3667000	STARTED	site1	223
3668000	COMPLETED	site1	223
3668000	STARTED	site1	4
3686000	RELEASED	site0	234
3686000	REJECTED	site0	234
3688000	RELEASED	site0	235
3688000	ACCEPTED	site1	235
3688000	STARTED	site1	235
3704000	COMPLETED	site1	235
3704000	STARTED	site1	4
3706000	RELEASED	site0	236
3706000	REJECTED	site0	236
3718000	RELEASED	site0	237
3718000	ACCEPTED	site1	237
3718000	STARTED	site1	237
3723000	RELEASED	site0	238
3723000	ACCEPTED	site1	238
3723000	STARTED	site1	238
3724000	RELEASED	site0	239
3724000	ACCEPTED	site1	239
3724000	STARTED	site1	239
3741000	COMPLETED	site1	239
3741000	STARTED	site1	238
3759000	COMPLETED	site1	238
3759000	STARTED	site1	237
3760000	RELEASED	site0	240
3760000	REJECTED	site0	240
3761000	RELEASED	site0	241
3761000	ACCEPTED	site1	241
3761000	STARTED	site1	241
3777000	COMPLETED	site1	241
3777000	STARTED	site1	237
3796000	RELEASED	site0	242
3796000	REJECTED	site0	242
3797000	RELEASED	site0	243
3797000	ACCEPTED	site1	243
3797000	STARTED	site1	243
3811000	COMPLETED	site1	243
3811000	STARTED	site1	237
3845000	COMPLETED	site1	237
3845000	STARTED	site1	4
4081000	RELEASED	site0	244
4081000	REJECTED	site0	244
4297000	RELEASED	site0	245
4297000	ACCEPTED	site1	245
4297000	STARTED	site1	245
4318000	COMPLETED	site1	245
4318000	STARTED	site1	4
4364000	RELEASED	site0	246
4364000	REJECTED	site0	246
4418000	RELEASED	site0	247
4418000	REJECTED	site0	247
4484000	RELEASED	site0	248
4484000	REJECTED	site0	248
4701000	RELEASED	site0	249
4701000	REJECTED	site0	249
4772000	COMPLETED	site1	4
4772000	STARTED	site1	71
4858000	COMPLETED	site1	71
4877000	RELEASED	site0	250
4877000	ACCEPTED	site1	250
4877000	STARTED	site1	250
4901000	COMPLETED	site1	250
4929000	RELEASED	site0	251
4929000	ACCEPTED	site1	251
4929000	STARTED	site1	251
4981000	COMPLETED	site1	251
4987000	RELEASED	site0	252
